CustomerID,Company,Job Title,Employment Status,Job Start Date,Annual Income,Industry
1,FA Systems Automation Pte Ltd,Data Analyst,Employee,28/2/2007,56680,Manufacturing
2,Changi International Airport Services Pte Ltd,Pilot,Employee,20/2/2001,105000,Transport
3,M.SaaS Solutions Pte Ltd,Web Designer,Employee,25/8/2003,49000,Information Technology
4,Pacnet,Data Analyst,Employee,23/4/2003,49000,Communications
5,Venture Corporation Limited,IT Consultant,Employee,5/2/2001,54640,Manufacturing
6,MediaCorp Private Limited,Security Officer,Employee,22/1/2003,34440,Media
7,Ministry of Manpower,Software Engineer,Employee,25/4/2011,73000,Government
8,Flextronics,Legal Representative,Employee,12/9/2003,223680,Manufacturing
9,Tiger Airways,Legal Consultant,Employee,20/1/2002,119200,Transport
10,Wing Tai Holdings Limited,President,Employee,26/3/2001,78000,Property
11,ComfortDelGro Corporation Limited,Public Relations Officer,Employee,10/3/2002,42880,Transport
12,Talent Logic Pte Ltd,Clerk,Employee,18/10/2010,47680,Electronics
13,Koufu Pte Ltd,Quality Assurance Manager,Employee,15/8/2003,79200,Food and Beverages
14,Aspial Corporation Ltd,Operations Manager,Employee,10/9/2001,82000,Retail
15,Thakral Corporation Ltd,Procurement Manager,Employee,14/5/2001,106200,Diversified
16,Ministry of Manpower,Senior Technician,Employee,7/9/2002,76300,Government
17,OSIM International Limited,Operations Manager,Employee,27/1/2011,75000,HealthCare
18,Talent Logic Pte Ltd,Data Analyst,Employee,18/12/2002,54000,Electronics
19,Dizyatec Solutions Pte Ltd,Admin Assistant,Employee,10/4/2011,42000,Information Technology
20,Singapore Airport Terminal Services Limited,Manager,Employee,15/12/2002,78200,Transport
21,Jetstar Asia Airways,Technician,Employee,4/11/1990,33107,Transport
22,Singapore Airport Terminal Services Limited,System Analyst,Employee,24/6/2003,79400,Transport
23,Temasek Holdings,IT Specialist,Employee,7/2/2003,58000,Investment
24,Bank of Tokyo-Mitsubishi Limited,Director,Employee,14/5/2003,90900,Banking and Finance
25,Singapore Airlines Limited,Director of Human Resource,Employee,8/2/2010,201500,Transport
26,Changi International Airport Services Pte Ltd,Data Analyst,Employee,20/2/2002,92000,Transport
27,Singapore Civil Defence Force,Supply & Distribution Manager,Employee,30/4/2003,80280,Government
28,Pacnet,Public Affairs Manager,Employee,10/10/2001,53760,Communications
29,NTUC FairPrice Co-Operative Ltd,Board of Chairman,Employee,28/7/2001,199000,Retail
30,Singapore Expats,Call Centre Manager,Employee,29/5/2002,82600,Property
31,SembCorp Industries Limited,Chief Operations Manager,Employee,15/4/2003,55000,Diversified
32,Koufu Pte Ltd,Investment Advisor,Employee,29/9/2002,119520,Food and Beverages
33,Aetos Security Management Pte Ltd,Medic,Employee,27/1/2002,77500,Security
34,Temasek Holdings,Economist,Employee,10/2/2002,73000,Investment
35,K Box KTV Management Pte Ltd,Cashier,Employee,21/5/2010,42000,Entertainment
36,SilkAir,Team Leader,Employee,14/12/2001,57000,Transport
37,SilkAir,Software Applications Manager,Employee,18/7/2002,103920,Transport
38,SMRT Corporation,Technician,Employee,4/3/2002,77900,Transport
39,Medical Technology,Financial Advisor,Employee,29/11/2006,81700,HealthCare
40,InVue Security Products,Public Relations Director,Employee,5/8/2002,105000,Security
41,SilkAir,Team Leader,Employee,10/1/2002,77000,Transport
42,Oversea Chinese Banking Corporation,Systems Programmer,Employee,12/4/2001,72720,Banking and Finance
43,StarHub Limited,Editor,Employee,10/6/2001,49800,Communications
44,Singapore Press Holdings,Technical Producer,Employee,6/4/2001,53920,Media
45,Osim International Limited,Receptionist,Employee,12/10/1990,33131,HealthCare
46,Bloomsbury Knowledge (Singapore) Pte Ltd,Admin Assistant,Employee,13/8/2003,44000,Education
47,StarHub Limited,Legal Advisor,Employee,11/6/2008,75000,Communications
48,Bee Cheng Hiang,IT Assistant,Employee,4/8/2009,42000,Food and Beverages
49,Aspial Corporation Ltd,IT Support Specialist,Employee,13/5/2003,52000,Retail
50,Aspial Corporation Ltd,Salesperson,Employee,7/3/2002,45000,Retail
51,PSA International Pte Ltd,Senior Data Analyst,Employee,14/5/2005,73000,Investment
52,SilkAir,Secretary,Employee,25/9/2006,42000,Transport
53,Singapore Telecommunications Limited,Senior Data Analyst,Employee,17/3/2007,56000,Communications
54,Raffles Medical,Social Welfare Officer,Employee,25/8/2003,58640,HealthCare
55,The Fullerton Hotel,Clerk,Employee,12/2/1981,31132,Hospitality
56,Creative Technology,Clerk,Employee,30/8/2009,48000,Electronics
57,Critica,Secretary,Employee,8/6/2003,40000,Design
58,SingTel Limited,Public Affairs Manager,Employee,11/11/2001,55000,Communications
59,Dizyatec Solutions Pte Ltd,Senior Data Analyst,Employee,22/8/2008,73000,Information Technology
60,SMRT Corporation,Admin Assistant,Employee,11/12/2009,52360,Transport
61,SIA Engineering Company Limited,Database Administrator,Employee,25/9/2002,49200,Manufacturing
62,Jetstar Asia Airways,Chairman,Employee,2/7/2009,201720,Transport
63,PowerSeraya Ltd,Driver,Employee,9/5/2005,42000,Energy and Utility
64,Singapore Airlines Cargo,Driver,Employee,30/8/1981,31137,Transport
65,Serai Makan Place,Marketing Manager,Employee,26/11/2001,45000,Food and Beverages
66,Thakral Corporation Ltd,Senior Production Manager,Employee,14/5/2003,80320,Diversified
67,Temasek Holdings,Investment Strategist,Employee,9/3/2002,73000,Investment
68,Wing Tai Holdings Limited,Telecommunications Engineer,Employee,18/3/2001,77000,Property
69,NTUC FairPrice Co-Operative Ltd,Security Officer,Employee,20/2/2007,50000,Retail
70,Changi International Airport Services Pte Ltd,Financial Advisor,Employee,28/12/2001,120000,Transport
71,Futurebooks Pte Ltd,Secretary,Employee,20/11/2002,52000,Accounting
72,Singapore Technologies Engineering Ltd,Supervisor,Employee,16/8/1986,30798,Manufacturing
73,Singapore Expats,Quality Inspector,Employee,7/10/2002,58000,Property
74,Serai Makan Place,Head Cook,Employee,8/6/2002,45880,Food and Beverages
75,Osim International Limited,Admin Assistant,Employee,22/5/1981,31678,HealthCare
76,Vadaro Pte Ltd,Public Relations Manager,Employee,3/6/2003,80100,Information Technology
77,Capital Dynamics (S) Pte Ltd,Senior Database Administrator,Employee,19/2/2003,82800,Consulting
78,A.P.Moller Singapore Pte Ltd,Technician,Employee,27/6/2005,52400,Transport
79,Core Solution Pte Ltd,Public Relations Manager,Employee,20/12/2002,79400,Information Technology
80,MHC Asia Group Pte Ltd,Optician,Employee,12/7/2002,52520,HealthCare
81,Critica,Senior Clerk,Employee,28/8/2001,92000,Design
82,JTC Corporation,Employment Officer,Employee,11/9/2008,50000,Government
83,Talent Logic Pte Ltd,Database Administrator,Employee,3/3/2002,44000,Electronics
84,SolarGy Pte Ltd,Database Administrator,Employee,1/1/2002,46000,Energy and Utility
85,JTC Corporation,Senior Data Analyst,Employee,9/4/2007,73000,Government
86,Vivid Snaps LLP,Applications Programmer,Employee,28/1/2003,75600,Service
87,Acacia Design Consultants Pte Ltd,Applications Programmer,Employee,30/7/2003,92400,Design
88,SembCorp Industries Limited,Production supervisor,Employee,17/11/2002,49500,Diversified
89,Vadaro Pte Ltd,Public Relations Manager,Employee,30/9/2006,75000,Information Technology
90,Acacia Design Consultants Pte Ltd,Admin Assistant,Employee,25/4/2003,45480,Design
91,Pacnet,Legal Advisor,Employee,21/4/2004,54000,Communications
92,Creative Technology,Electrical Engineer,Employee,10/10/2005,79800,Electronics
93,DR. W.K. KOO & ASSOCIATES PTE LTD,Physician,Employee,25/11/2002,76000,HealthCare
94,RHB Bank Berhad,Human Resource Manager,Employee,18/3/2001,55000,Banking and Finance
95,AIBI International,Head Nurse,Employee,3/9/2001,80360,HealthCare
96,Jurong Port Pte Ltd,Public Relations Officer,Employee,4/5/1990,32773,Transport
97,AVD Electronics Marketing Pte Ltd,Public Relations,Employee,2/8/2001,52000,Electronics
98,PowerSeraya Ltd,General Manager,Employee,8/7/2001,199500,Energy and Utility
99,Certis CISCO Security Pte Ltd,Medic,Employee,5/6/2005,42000,Security
100,Temasek Holdings,Human Resource Manager,Employee,18/4/2003,145000,Investment
101,SBS Transit Limited,System Analyst,Employee,27/10/2002,59100,Transport
